creator,onde estudou,nome da escola,datas em que estudou,fonte_onde_estudou,fonte_nome_escola,fonte_datas_estudo,observacoes_pesquisa,confianca_preenchimento
Evert Lundquist,"Estocolmo, Suécia; Paris, França; Estocolmo, Suécia",Carl Wilhelmson's painting school; Académie Julian; Konsthögskola,1924; 1924–1925; 1925–1931,https://en.wikipedia.org/wiki/Evert_Lundquist,https://en.wikipedia.org/wiki/Evert_Lundquist,https://en.wikipedia.org/wiki/Evert_Lundquist,,media
Frances Manacher,,,,,,,formação não localizada com segurança,
João Abel Manta,"Lisboa, Portugal",Escola Superior de Belas-Artes de Lisboa,c. 1940s–1950s,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,datas aproximadas,media
André Masson,Bruxelas,Académie Royale des Beaux-Arts de Bruxelles,c. 1907–1912,Wikipédia,Wikipédia,Wikipédia,identificado como artista,media
Carlos Mérida,Paris,Académie Colarossi,c. 1910–1914,Wikipédia,Wikipédia,Wikipédia,identificado como artista,media
Lilly Michael,"Nova York, EUA",School of Painting and Sculpture at Columbia University,sem data exata na fonte,https://www.ripleyauctions.com/auction-lot/lily-michael-american-1912-1999-abstract-195_9C44095860,https://www.ripleyauctions.com/auction-lot/lily-michael-american-1912-1999-abstract-195_9C44095860,,A fonte usa a grafia Lily Michael; mantido o creator original Lilly Michael.,media
Armando Morales,"Manágua, Nicarágua",School of Plastic Arts in Managua,1948–1953,https://www.oas.org/artsoftheamericas/armando-morales,https://www.oas.org/artsoftheamericas/armando-morales,https://www.oas.org/artsoftheamericas/armando-morales,,alta
Carl Morris,"Chicago, EUA; Viena, Áustria; Viena, Áustria",Chicago Art Institute; Kunstgewerbeschule; Vienna Academy of Fine Art,s.d.; s.d.; s.d.,https://www.usbr.gov/museumproperty/art/biomorri.html,https://www.usbr.gov/museumproperty/art/biomorri.html,https://www.usbr.gov/museumproperty/art/biomorri.html,datas não localizadas na fonte consultada,media
Antoine Mortier,"Bruxelas, Bélgica",Académie des Beaux-Arts de Bruxelles,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada; datas não localizadas com precisão,baixa
Abraham Naton,Bucareste (Romênia),Bucharest Art Academy,1930-1935,https://www.beloosesky.com/artists/avraham-naton/biography | https://www.dangallery.co.il/artists/avraham-naton/,https://www.beloosesky.com/artists/avraham-naton/biography | https://www.dangallery.co.il/artists/avraham-naton/,https://www.beloosesky.com/artists/avraham-naton/biography | https://www.dangallery.co.il/artists/avraham-naton/,As fontes consultadas usam a forma Avraham Naton.,alta
Ion Oana Potecasu,,,,,,,formação não localizada com segurança,
Arthur Osver,"Chicago, EUA",School of the Art Institute of Chicago,1931–1936,https://www.annexgalleries.com/artists/biography/3594/Osver/Arthur,https://www.annexgalleries.com/artists/biography/3594/Osver/Arthur,https://www.annexgalleries.com/artists/biography/3594/Osver/Arthur,,alta
Maria Luisa Pacheco,"La Paz, Bolívia; Madrid, Espanha",Academia de Bellas Artes; Real Academia de Bellas Artes de San Fernando,1934; 1951–1952,https://www.oas.org/artsoftheamericas/maria-luisa-pacheco,https://www.oas.org/artsoftheamericas/maria-luisa-pacheco,https://en.wikipedia.org/wiki/Mar%C3%ADa_Luisa_Pacheco,inicia formação artística em La Paz e continua estudos de pós-graduação em Madri,alta
Luis Martinez Pedro,"Havana, Cuba",Academia de San Alejandro,c. 1920s–1930s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,,media
Hans Platschek,"Hamburgo, Alemanha",Hochschule für bildende Künste Hamburg,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada em biografias sumárias,baixa
Karl Plattner,"Veneza, Itália",Accademia di Belle Arti di Venezia,1937–1941,https://de.wikipedia.org/wiki/Karl_Plattner,https://de.wikipedia.org/wiki/Karl_Plattner,https://de.wikipedia.org/wiki/Karl_Plattner,,media
Zlatko Prica,"Zagreb, Croácia","Academy of Fine Arts, Zagreb",s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada em biografias sumárias,media
Nelson Ramos,"Montevidéu, Uruguai; Montevidéu, Uruguai",Escuela Nacional de Bellas Artes; Taller Torres-García,s.d.; c. 1940s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,,media
Júlio de Resende,"Porto, Portugal; Paris, França",Escola Superior de Belas-Artes do Porto; Académie de la Grande Chaumière,1937–1945; c. 1947,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,aperfeiçoamento posterior em Paris,media
Nicolas Rubió,Barcelona (Espanha),Escuela de Arquitectura de Barcelona,1915,https://es.wikipedia.org/wiki/Nicol%C3%A1s_Mar%C3%ADa_Rubi%C3%B3_Tudur%C3%AD | https://www.urbipedia.org/hoja/Nicol%C3%A1s_Rubi%C3%B3_Tudur%C3%AD,https://es.wikipedia.org/wiki/Nicol%C3%A1s_Mar%C3%ADa_Rubi%C3%B3_Tudur%C3%AD | https://www.urbipedia.org/hoja/Nicol%C3%A1s_Rubi%C3%B3_Tudur%C3%AD,https://es.wikipedia.org/wiki/Nicol%C3%A1s_Mar%C3%ADa_Rubi%C3%B3_Tudur%C3%AD | https://www.urbipedia.org/hoja/Nicol%C3%A1s_Rubi%C3%B3_Tudur%C3%AD,A correspondência adotada foi com Nicolás Maria Rubió Tudurí.,alta
Jose Rueda,Buenos Aires (Argentina),Escuela Nacional de Bellas Artes Manuel Belgrano; Escuela Nacional de Bellas Artes Prilidiano Pueyrredón; Escuela Superior de Bellas Artes Ernesto de la Cárcova,,https://www.hcdn.gob.ar/secgralpres/dcultura/museo/obras/artistas/Rueda-Jose/ | https://artedelaargentina.com/disciplinas/artista/grabado/jose-luis-rueda,https://www.hcdn.gob.ar/secgralpres/dcultura/museo/obras/artistas/Rueda-Jose/ | https://artedelaargentina.com/disciplinas/artista/grabado/jose-luis-rueda,,"A formação aparece em três escolas nacionais de belas-artes, sem datas precisas nas fontes consultadas.",media
William Scott,"Belfast, Reino Unido; Londres, Reino Unido",Belfast College of Art; Royal Academy Schools,c. 1931; c. 1935–1938,Tate; biografia institucional,Tate; biografia institucional,Tate; biografia institucional,datas aproximadas em parte,media
Johanan Simon,"Jerusalém, Israel",Bezalel School of Arts and Crafts,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada em biografias sumárias,media
Traugott Spiess,Suíça,estudos com Johannes Itten,,https://www.espacel.net/maill-seau/,https://www.espacel.net/maill-seau/,,"Fonte consultada identifica apenas formação com Johannes Itten, sem instituição explicitada.",baixa
Americo Sposito,"Montevidéu, Uruguai; Montevidéu, Uruguai; Montevidéu, Uruguai",escola italiana de Enzo Kabregú; Círculo de Bellas Artes de Montevideo; Taller Torres García,s.d.; s.d.; 1942,https://es.wikipedia.org/wiki/Am%C3%A9rico_Sp%C3%B3sito,https://es.wikipedia.org/wiki/Am%C3%A9rico_Sp%C3%B3sito,https://es.wikipedia.org/wiki/Am%C3%A9rico_Sp%C3%B3sito,,media
Everett Spruce,"Dallas, EUA",Dallas Art Institute,c. 1920s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada em biografias do regionalismo texano,media
Mladen Srbinović,"Belgrado, Sérvia","Academy of Fine Arts, Belgrade",c. 1940s–1950s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,,media
Charles Joseph Suares,"Alexandria, Egito; Paris, França",Victoria College; ateliês de Othon Friesz e André Lhote,até 1919; 1920s,https://fr.wikipedia.org/wiki/Charles_Suares,https://fr.wikipedia.org/wiki/Charles_Suares,https://fr.wikipedia.org/wiki/Charles_Suares,formação artística principal em ateliês em Paris,media
Peter Sussmann,"Buenos Aires, Argentina",Colegio Nacional Manuel Belgrano,até 1944,https://artedelaargentina.com.ar/disciplinas/artista/pintura/peter-sussmann,https://artedelaargentina.com.ar/disciplinas/artista/pintura/peter-sussmann,https://artedelaargentina.com.ar/disciplinas/artista/pintura/peter-sussmann,fonte confirma egresso do colegio; não localizei escola de arte formal,media
Graham Sutherland,"Londres, Reino Unido",Goldsmiths' College,1921–1926,Tate; biografia institucional,Tate; biografia institucional,Tate; biografia institucional,,alta
Antoni Tàpies,"Barcelona, Espanha; Barcelona, Espanha",German School of Barcelona; Universidade de Barcelona,1934–c. 1940s; 1943–1946,https://en.wikipedia.org/wiki/Antoni_T%C3%A0pies; https://www.britannica.com/biography/Antoni-Tapies,https://en.wikipedia.org/wiki/Antoni_T%C3%A0pies; https://www.britannica.com/biography/Antoni-Tapies,https://en.wikipedia.org/wiki/Antoni_T%C3%A0pies; https://www.britannica.com/biography/Antoni-Tapies,artista em grande parte autodidata; formação formal parcial localizada,media
David de Tewenoir,,,,,,,formação não localizada com segurança,
Mario Toral,"Paris, França",Beaux-Arts de Paris,,MAC_consolidado_normalized.csv / nationality_applied_dataset.csv,MAC_consolidado_normalized.csv / nationality_applied_dataset.csv,,dados recuperados de base auxiliar; datas não localizadas,alta
Hans Uhlmann,"Berlim, Alemanha",Vereinigte Staatsschulen für freie und angewandte Kunst,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada; datas não localizadas com precisão,baixa
Juan Ventayol,Montevidéu (Uruguai),Círculo Fomento de Bellas Artes; estudos com Guillermo Laborde,1933-1938,https://www.museos.gub.uy/arteactivo/artistas/item/ventayol-juan.html | https://www.catalogodasartes.com.br/artista/Juan%20Ventayol/,https://www.museos.gub.uy/arteactivo/artistas/item/ventayol-juan.html | https://www.catalogodasartes.com.br/artista/Juan%20Ventayol/,https://www.catalogodasartes.com.br/artista/Juan%20Ventayol/,,alta
Fritz Winter,"Dessau, Alemanha",Bauhaus,1927–1930,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,,alta
Sada Yazima,,,,,,,formação não localizada com segurança,
Fábio Barbosa,Brasília; São Paulo,Universidade de Brasília (UnB); Universidade de São Paulo (USP),2009; sem data exata do mestrado na fonte recuperada,https://www.escavador.com/sobre/974574/fabio-barbosa-de-oliveira,https://www.escavador.com/sobre/974574/fabio-barbosa-de-oliveira,https://www.escavador.com/sobre/974574/fabio-barbosa-de-oliveira,Associado ao artista Fábio Baroli/Fábio Barbosa de Oliveira.,media
Paulo Becker,Rio de Janeiro (RJ),"Universidade Federal do Rio de Janeiro (UFRJ); formação com Turíbio Santos, Marco Pereira, Léo Soares e Nícolas Barros",violão clássico por 12 anos; sem datas exatas na fonte,https://acervo.casadochoro.com.br/cards/view/1641 | https://www.revistaprosaversoearte.com/casa-do-choro-ze-paulo-becker-e-fernando-leitzke/,https://acervo.casadochoro.com.br/cards/view/1641 | https://dicionariompb.com.br/artista/ze-paulo-becker/,https://acervo.casadochoro.com.br/cards/view/1641,"Tratado como o violonista Zé Paulo Becker, correspondente ao creator 'Paulo Becker'.",media
Flávio de Carvalho,"Newcastle, Inglaterra; Newcastle, Inglaterra","Armstrong College, Universidade de Durham; King Edward the Seventh School of Fine Arts",1918–1922; desde 1918,Enciclopédia Itaú Cultural,Enciclopédia Itaú Cultural,Enciclopédia Itaú Cultural,"há referência a estudos em Paris em 1911, mas a instituição não foi localizada com segurança nesta passada",alta
Genaro de Carvalho,"Salvador, Brasil",Escola de Belas Artes da Bahia,c. 1940s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,,media
Carybé,"Rio de Janeiro, Brasil",Escola Nacional de Belas Artes,1927–1929,Escritório de Arte; Wikipédia,Escritório de Arte; Wikipédia,Wikipédia,também completou estudos secundários no Rio de Janeiro,media
Lothar Charoux,"Viena, Áustria; São Paulo, Brasil; São Paulo, Brasil",estudos com Siegfried Charoux; Liceu de Artes e Ofícios; aulas com Waldemar da Costa,c. anos 1920; c. anos 1930; c. anos 1930–1940,Enciclopédia Itaú Cultural; Academia de Curadoria; Wikipedia,Enciclopédia Itaú Cultural; Academia de Curadoria; Wikipedia,Enciclopédia Itaú Cultural; Academia de Curadoria; Wikipedia,,media
Lygia Clark,"Rio de Janeiro, Brasil; Paris, França","aprendizado artístico com Roberto Burle Marx; estudos com Fernand Léger, Arpad Szenes e Isaac Dobrinsky",1947; 1950–1952,https://enciclopedia.itaucultural.org.br/pessoas/538-lygia-clark,https://enciclopedia.itaucultural.org.br/pessoas/538-lygia-clark,https://enciclopedia.itaucultural.org.br/pessoas/538-lygia-clark,,alta
Carmélio Cruz,Canindé (CE),formação com o mestre Jacinto de Souza,1935-1940,https://enciclopedia.itaucultural.org.br/pessoas/3411-carmelio-cruz | https://www.escritoriodearte.com/artista/carmelio-cruz,https://enciclopedia.itaucultural.org.br/pessoas/3411-carmelio-cruz | https://www.escritoriodearte.com/artista/carmelio-cruz,https://enciclopedia.itaucultural.org.br/pessoas/3411-carmelio-cruz,"Fonte registra aprendizado com mestre, não instituição formal.",media
Samson Flexor,"Bruxelas, Bélgica; Paris, França; Paris, França",Académie Royale des Beaux-Arts; École Nationale Supérieure des Beaux-Arts; Sorbonne,1922–1924; desde 1924; desde 1924,Enciclopédia Itaú Cultural,Enciclopédia Itaú Cultural,Enciclopédia Itaú Cultural,"fontes secundárias mencionam ainda academias Ranson e La Grande Chaumière, não consolidadas aqui para manter concisão",alta
Tikashi Fukushima,"Rio de Janeiro, Brasil",aprendizado/assistência com Tadashi Kaminagai,1946,Enciclopédia Itaú Cultural,Enciclopédia Itaú Cultural,Enciclopédia Itaú Cultural,instituição formal não localizada com segurança nesta passada,media
Emile Geissberger,"La Chaux-de-Fonds, Suíça",École d’Art de La Chaux-de-Fonds,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada em fontes secundárias,baixa
Luciano Gregory,Brasil,"formação teatral com Sérgio Cardoso, Augusto Boal e Abílio Pereira de Almeida",,https://www.tvsaudades.com.br/item/2596/luciano-gregory-anos/details?pageType=search | https://www.museudatv.com.br/biografia/luciano-gregory/,https://www.tvsaudades.com.br/item/2596/luciano-gregory-anos/details?pageType=search | https://www.museudatv.com.br/biografia/luciano-gregory/,,"A formação aberta recuperável é por mentores teatrais, sem escola formal identificada.",baixa
Johann Gutlich,Roterdã (Países Baixos),Academia de Arte de Roterdã; estudos com Henk Chabot,1935-1940,https://enciclopedia.itaucultural.org.br/pessoas/3646-johann-gutlich | https://pt.wikipedia.org/wiki/Johann_Gutlich,https://enciclopedia.itaucultural.org.br/pessoas/3646-johann-gutlich | https://pt.wikipedia.org/wiki/Johann_Gutlich,https://enciclopedia.itaucultural.org.br/pessoas/3646-johann-gutlich | https://pt.wikipedia.org/wiki/Johann_Gutlich,,alta
