Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender,fonte_educated_at,confianca_educated_at,observacoes_pesquisa,batch_origem,fonte_place_of_birth,confianca_place_of_birth
Djamel Afnai,,École du Passage | Théâtre National de Chaillot | FAI-AR,,,,,,FAI-AR,alta,"Página institucional do FAI-AR informa formação na École du Passage, no Théâtre National de Chaillot e percurso formativo no próprio FAI-AR.",nova_tentativa_07; lote_23; lote_31; place_of_birth_lote_08,,
Donald Abad,France,École Nationale Supérieure des Arts Décoratifs de Paris (ENSAD Paris),,,,,male,Paris College of Art — https://www.paris.edu/faculty/abad-donald/ ; CNAP — https://www.cnap.fr/donald-abad-0,alto,"Fonte institucional e biografia artística convergem em diploma e pós-diploma na ENSAD Paris. | Biografias consultadas indicam trajetória em Paris, mas não local de nascimento explícito.",nova_tentativa_07; place_of_birth_lote_08,,
Dropbear,Australia,,,,,,male,,,"Fontes abertas descrevem formação de fundo em arte e design gráfico, mas não nomeiam instituição de ensino. | revisto no lote_31: sem instituição explicitamente nomeada em fonte confiável localizada",nova_tentativa_07; lote_23; lote_31; place_of_birth_lote_08,,
Drude Mangaard,Kingdom of Denmark,The Animation Workshop,,,,,female,FILE Festival — https://archive.file.org.br/participantes/drude-mangaard/ ; perfil pessoal — https://drudemangaard.blogspot.com/p/bio.html,alto,Fontes convergem em graduação em Character Animation no The Animation Workshop.,nova_tentativa_07; place_of_birth_lote_08,,
Dénes Ruzsa,Hungary,,,,,,male,,,"Fonte aberta informa estudos em Media and Communication, mas não nomeia a instituição. | revisto no lote_31: entrevista menciona estudos em Media and Communication, sem instituição nomeada",nova_tentativa_07; lote_23; lote_31; place_of_birth_lote_08,,
Eden Chan,Taiwan,Taipei National University of the Arts,,"Taichung, Taiwan",,,male,FILE Festival,médio,"A biografia do FILE explicita graduação na TNUA. | Biografia do FILE informa nascimento em Taichung, Taiwan.",16; place_of_birth_lote_08,FILE Festival,alto
,,Gobelins,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
Eduardo Abrantes,Portugal,Escola António Arroio | Escola Superior de Belas-Artes de Lisboa | Universidade Aberta,,"Lisbon, Portugal",,,male,currículo aberto — https://eapinturaedesenho.blogspot.com/p/curriculo.html ; galeriadearte.pt — https://galeriadearte.pt/artista/eduardo-abrantes-artista-plastico/,médio,"Currículo aberto nomeia curso complementar na Escola António Arroio, frequência na ESBAL e licenciatura em Ensino da Educação Visual e Tecnológica na Universidade Aberta. | Biografias abertas convergem em “Lisbon, Portugal, 1979”.",nova_tentativa_07; place_of_birth_lote_08,site oficial / Academia.edu,alto
Eduardo Nespoli,Brazil,Universidade Estadual de Campinas,,,,,male,FILE Festival,médio,Biografia do FILE explicita graduação em Música e doutorado em Artes pela Unicamp.,14; place_of_birth_lote_08,,
Ekin Başaran,Turkey,New York University Abu Dhabi,,,,,female,NYU Abu Dhabi — https://www.nyu.ae/en/news/latest-news/global-learning/2017/october/graphic-animations-light-up-brazilian-art-festival.html ; FILE Festival — https://archive.file.org.br/participantes/ekin-basaran/,médio,Notícia institucional da NYU Abu Dhabi e página do FILE situam a artista como estudante ligada à NYUAD.,nova_tentativa_07; place_of_birth_lote_08,,
Elaine Hoey,Ireland,National College of Art and Design,,Ireland,,,female,National Sculpture Factory — https://nationalsculpturefactory.com/artists/elaine-hoey/ ; NCAD — https://www.ncad.ie/directory/view/elaine-hoey,alto,Fonte institucional confirma MFA em Fine Art Media na NCAD em 2017; entrevista pública menciona BA e MFA sem conflito. | Perfil do IMMA informa apenas “Country of Birth: Ireland”.,nova_tentativa_07; place_of_birth_lote_08,IMMA,alto
Elena Negoiu,Romania,New York University Abu Dhabi,,,,,female,NYU Abu Dhabi — https://f5.publicprograms.nyuad.nyu.edu/en/academics/divisions/engineering/instructors/elena-negoiu.html,alto,Perfil institucional informa graduação (BS) em Electrical Engineering pela NYU Abu Dhabi.,nova_tentativa_07; place_of_birth_lote_08,,
Elisa Turco,Italy,Università di Bologna (DAMS) | ERT - Emilia Romagna Teatro,,,,,female,Rome Art Week — https://romeartweek.com/en/artists/?code=NVMAXW,médio,Perfil biográfico aberto informa graduação em DAMS em Bologna e início dos estudos práticos na escola de atores da Emilia Romagna Teatro.,nova_tentativa_07; place_of_birth_lote_08,,
Elli Vuorinen,Finland,Turku Arts Academy,,,,,female,FILE Festival,médio,Biografia do FILE informa formação pelo Departamento de Animação da Turku Arts Academy.,14; place_of_birth_lote_08,,
Emanuele Kabu,Italy,autodidata,,"Belluno, Italy",,,male,It’s Nice That — https://www.itsnicethat.com/articles/emanuele-kabu-animation-100118 ; site oficial — https://www.emanuelekabu.org/about/,médio,Fonte secundária robusta indica que optou por não cursar formação formal; registrado como autodidata. | Site oficial informa nascimento em Belluno em 1978.,nova_tentativa_07; place_of_birth_lote_08,site oficial / BilBOlbul,alto
Emiliano Zucchini,Italy,,,"Frascati, Italy",,,male,,,"Fontes abertas indicam graduação em Graphic Design em Roma, mas sem nomear a instituição. | revisto no lote_31: sem instituição explicitamente nomeada em fonte confiável localizada | Perfil institucional informa nascimento em Frascati em 1982.",nova_tentativa_07; lote_23; lote_31; place_of_birth_lote_08,Homeostasis Lab,media
Emmanuelle Leleu,France,Supinfocom Arles (atual MoPA),,,,,female,Digital Production — https://digitalproduction.com/?p=99106 ; Cartoon Brew — https://www.cartoonbrew.com/cgi/a-la-francaise-by-julien-hazebroucq-emmanuelle-leleu-morrigane-boyer-william-lorton-ren-hsien-hsu-95939.html,médio,"Múltiplas fontes abertas identificam “À la Française” como filme estudantil realizado em Supinfocom Arles, hoje MoPA.",nova_tentativa_07; place_of_birth_lote_08,,
Eran Hilleli,Israel,Bezalel Academy of Arts and Design,,,,,male,FILE Festival,médio,"Biografia do FILE informa que o curta Between Bears foi criado no último ano na Bezalel Academy, em Jerusalém. | Fontes consultadas situam o artista em Tel Aviv/Jerusalém, sem afirmar local de nascimento.",14; place_of_birth_lote_08,,
Erdal İnci,Turkey,Hacettepe University,,"Ankara, Turkey",,,male,,,Biografias convergentes informam nascimento em Ankara em 1983.,place_of_birth_lote_08,portfólio oficial / Art On Istanbul,alto
Eri Kassnel,Romania,Bern University of the Arts | Augsburg University of Applied Sciences,,"Timișoara, Romania",,,female,site oficial — https://eri-kassnel.de/en-info/kassnel-henneberg-media-artist/ ; Numeridanse — https://numeridanse.com/en/profile/kassnel-eri/,alto,"Fonte oficial e perfil curatorial convergem em estudos de restauração em Berna e mídia interativa em Augsburg. | Fonte curatorial informa nascimento em Timișoara, Romênia, em 1973.",nova_tentativa_07; place_of_birth_lote_08,"Flee Immediately / Fuck you, next",media
Eric Lefaure,,,,,,,,,,"Entrevista indica início dos estudos em animação em 2007, mas não nomeia a instituição. | revisto no lote_31: perfil jornalístico informa que começou a estudar animação em 2007, sem instituição nomeada | Fontes localizadas descrevem nacionalidade e prática artística, sem afirmar local de nascimento.",nova_tentativa_07; lote_23; lote_31; place_of_birth_lote_08,,
Erica Gualandi,United Kingdom,Bournemouth University,,,,,female,FILE Festival — https://archive.file.org.br/participantes/erica-gualandi/ ; Vimeo/NCCA Degree Show — https://vimeopro.com/nccaanimation/undergraduatedegreeshow2017/video/225838598,alto,Biografia do FILE afirma diretamente que estudou animação na Bournemouth University; filme também aparece em contexto de degree show da instituição. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,nova_tentativa_07; place_of_birth_lote_10,,
Erin Gee,Canada,Concordia University,,"Regina, Saskatchewan, Canada",,,female,,,,place_of_birth_lote_10,Toronto Biennial of Art,alto
,,University of Regina,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
Evelyn Jane Ross,United States,Rhode Island School of Design,,,,,female,FILE Festival — https://file.org.br/anima_2018/evelyn-jane-ross/ ; Great Women Animators — https://greatwomenanimators.com/evelyn-jane-ross/,alto,Fontes abertas convergem em graduação pela Rhode Island School of Design em 2016. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,nova_tentativa_07; place_of_birth_lote_10,,
Fabiano Rodrigues,Brazil,autodidata,,"Santos, Brazil",,,male,FILE Festival — https://archive.file.org.br/participantes/fabiano-rodrigues/ ; Fundação Vera Chaves Barcellos — https://fvcb.com.br/acervo/artista/fabiano-rodrigues/,alto,Duas fontes institucionais qualificam o artista explicitamente como autodidata.,nova_tentativa_07; place_of_birth_lote_10,FILE Festival / Constance Galeria,alto
Fabricio Lima,Brazil,,,,,,male,,,"Nova busca não localizou instituição de ensino explicitamente nomeada; fontes abertas descrevem atuação profissional e docência, não formação formal. | revisto no lote_31: sem instituição explicitamente nomeada em fonte confiável localizada | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.",nova_tentativa_07; lote_23; lote_31; place_of_birth_lote_10,,
Faiyaz Jafri,Netherlands,Technical University of Delft,,Netherlands,,,male,Parsons — https://www.newschool.edu/parsons/faculty/Faiyaz-Jafri/ ; Pratt Institute — https://www.pratt.edu/people/faiyaz-jafri/ ; FILE Festival — https://file.org.br/anima_2018/faiyaz-jafri/,alto,Fontes institucionais convergem em estudos na Technical University of Delft; as mesmas fontes informam que a prática em animação é autodidata. | place of birth localizado apenas no nível de país.,nova_tentativa_07; place_of_birth_lote_10,site oficial do artista / Parsons,médio
Fanny Lhotellier,,École des Beaux-Arts de Bourges | École Georges Méliès,,,,,female,https://archive.file.org.br/participantes/fanny-lhotellier/ | https://filmfreeway.com/MielBleu,media,Fonte do FILE confirma diploma nacional em artes plásticas em Bourges; fonte secundária adicional indica formação em animação na École Georges Méliès. Escola de design gráfico de Orléans aparece sem nome formal. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,nova_tentativa_08; place_of_birth_lote_10,,
Federico Bebber,Italy,,,"Udine, Italy",,,male,,,"Não localizei instituição de ensino nomeada em fonte robusta; as biografias consultadas descrevem a trajetória artística, mas não a formação formal. | revisto no lote_31: sem instituição explicitamente nomeada em fonte confiável localizada",nova_tentativa_08; lote_23; lote_31; place_of_birth_lote_10,site oficial do artista,alto
Feliks Tomasz Konczakowski,Poland,,,"Kraków, Poland",,,male,,,Não localizei fonte auditável com instituição de ensino nomeada. | revisto no lote_31: sem instituição explicitamente nomeada em fonte confiável localizada,nova_tentativa_08; lote_23; lote_31; place_of_birth_lote_10,FILE Festival,alto
Felix Hardmood Beck,,Berlin University of the Arts,,"Düsseldorf, Germany",,,,https://www.felix-beck.de/content/bio.html,media,Fonte pessoal oficial informa estudo em Visual Communication na Berlin University of the Arts.,nova_tentativa_08; place_of_birth_lote_10,site pessoal / about.me,alto
Fernanda Vogas,Brazil,Universidade Federal do Rio de Janeiro,,,,,female,https://archive.file.org.br/participantes/fernanda-vogas/ | https://fernandavogas.wixsite.com/vogas/sobre,media,Formação confirmada como mestra em Artes Visuais (PPGAV/EBA/UFRJ); graduação em Comunicação Social aparece sem instituição nomeada. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,nova_tentativa_08; place_of_birth_lote_10,,
Firman Machda,Indonesia,University of South Wales,,"Bandung, Indonesia",,,male,https://file.org.br/led_sp_2019/firman-machda/ | https://about.me/machda,media,Há menção secundária a Newport School of Art and Design; mantive a instituição universitária explicitamente nomeada.,nova_tentativa_08; place_of_birth_lote_10,about.me / FILE Festival,médio
Florencia Levy,Argentina,Central Saint Martins College of Arts and Design | Universidad Nacional de las Artes,,"Buenos Aires, Argentina",,,female,https://www.arte-online.net/Artistas/Levy-Florencia/%28section%29/Biografia | https://proyector.info/en/profile/florencia-levy/,media,Duas fontes convergem sobre estudos em Londres e em Buenos Aires.,nova_tentativa_08; place_of_birth_lote_10,PROYECTOR / Mapa del Arte,alto
Fokke Mars,Kingdom of the Netherlands,HKU University of the Arts Utrecht,,,,,male,https://archive.file.org.br/participantes/fokke-mars/ | https://file.org.br/anima_2018/fokke-mars-max-van-der-ree-bas-jansen/,media,A biografia do FILE informa graduação em animação na HKU em 2017. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,nova_tentativa_08; place_of_birth_lote_10,,
Fran Orallo,Spain,Technical University of Valencia | City of Glasgow College,,"Badajoz, Spain",,,male,https://file.org.br/videoarte_2018/fran-orallo/ | https://www.idkf.org/archive/idkf-2025/artists-2025/fran-orallo,media,Fontes convergem sobre estudos em arte na UPV e em New Media Art em Glasgow.,nova_tentativa_08; place_of_birth_lote_10,FILE Festival,alto
Franck Dadure,France,,,,,,male,,,Não localizei instituição de ensino nomeada em fonte robusta; biografias consultadas focam a atuação musical. | revisto no lote_31: sem instituição explicitamente nomeada em fonte confiável localizada | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,nova_tentativa_08; lote_23; lote_31; place_of_birth_lote_10,,
